Name,State/Territory,Category,Policy/Incentive Type,Created,Last Updated
Energy Star Procurement Requirement for Agencies,TN,Regulatory Policy,Energy Standards for Public Buildings,12/22/2008,06/12/2024
Energy Efficient Schools Initiative - Loans,TN,Financial Incentive,Loan Program,08/10/2009,01/02/2025
Pathway Energy Efficiency Loan Program,TN,Financial Incentive,Loan Program,09/01/2010,01/02/2025
Green Energy Production Facility Tax Credit,TN,Financial Incentive,Industry Recruitment/Support,09/04/2010,02/17/2024
Sales Tax Credit for Clean Energy Technology,TN,Financial Incentive,Sales Tax Incentive,07/18/2011,01/02/2025
Green Energy Property Tax Assessment,TN,Financial Incentive,Property Tax Incentive,07/06/2012,01/02/2025
TVA - Residential Energy Efficiency Rebate Program,TN,Financial Incentive,Rebate Program,03/05/2015,09/10/2025
TVA - Commercial Energy Efficiency Rebate Program,TN,Financial Incentive,Rebate Program,06/02/2020,09/11/2025
Tennessee C-PACER Financing,TN,Financial Incentive,PACE Financing,01/05/2024,01/10/2024
Interconnection Procedures,TN,Regulatory Policy,Interconnection,06/10/2024,02/11/2025
Tennessee - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,TN,Financial Incentive,Grant Program,06/12/2024,06/12/2024
City of Memphis - PILOT Program,TN,Financial Incentive,Property Tax Incentive,07/23/2024,07/23/2024
Fuel Mix and Emissions Disclosure,TX,Regulatory Policy,Generation Disclosure,01/08/2001,08/09/2023
Solar and Wind Energy Device Franchise Tax Deduction,TX,Financial Incentive,Corporate Tax Deduction,01/01/2000,05/21/2025
Solar and Wind Energy Business Franchise Tax Exemption,TX,Financial Incentive,Industry Recruitment/Support,01/01/2000,05/21/2025
Renewable Energy Systems Property Tax Exemption,TX,Financial Incentive,Property Tax Incentive,01/01/2000,09/30/2025
Mandatory Renewable Energy Educational Materials,TX,Regulatory Policy,Line Extension Analysis,01/01/2000,05/21/2025
Interconnection Standards,TX,Regulatory Policy,Interconnection,07/16/2002,06/04/2024
City of Austin - Renewables Portfolio Standard,TX,Regulatory Policy,Renewables Portfolio Standard,06/09/2003,06/30/2025
Austin Energy - Residential Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,06/01/2004,09/30/2025
LoanSTAR Revolving Loan Program,TX,Financial Incentive,Loan Program,06/15/2005,06/06/2025
Texas Gas Service - Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,05/29/2006,05/06/2024
Texas Gas Service - Commercial Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,05/29/2006,08/07/2025
Texas-New Mexico Power Company - Residential and Hard-to-Reach Standard Offer Programs,TX,Financial Incentive,Rebate Program,05/29/2006,11/03/2025
Texas-New Mexico Power Company - SCORE/CitySmart & Commercial Solutions Market Transformation Programs,TX,Financial Incentive,Rebate Program,05/29/2006,03/27/2024
Xcel Energy - Commercial and Industrial Standard Offer Program,TX,Financial Incentive,Rebate Program,06/12/2006,09/02/2025
Building Energy Code,TX,Regulatory Policy,Building Energy Code,07/31/2006,06/18/2023
Austin Energy - Home Energy Savings Rebate Program,TX,Financial Incentive,Rebate Program,08/22/2006,06/06/2025
Austin Energy - Home Energy Savings Loan Program,TX,Financial Incentive,Loan Program,08/22/2006,06/06/2025
Austin Energy - Commercial Energy Management Rebate Program,TX,Financial Incentive,Rebate Program,08/22/2006,05/21/2024
Austin Energy - Small Business Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,08/23/2006,05/22/2024
Austin Energy - Multi-Family Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,08/23/2006,05/21/2024
Austin Energy - Weatherization Assistance Program,TX,Financial Incentive,Rebate Program,08/23/2006,05/06/2024
College Station Utilities - Residential Energy Efficiency Rebate Programs,TX,Financial Incentive,Rebate Program,08/24/2006,05/06/2024
CPS Energy (Electric) - Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,08/25/2006,06/02/2025
Denton Municipal Electric - Residential GreenSense Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,08/25/2006,09/25/2025
United Cooperative Services - Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,08/29/2006,10/14/2025
Farmers Electric Cooperative - Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,08/30/2006,08/07/2025
Energy Efficiency Goals and Requirements for Public Entities,TX,Regulatory Policy,Energy Standards for Public Buildings,09/27/2006,05/15/2024
City of Austin - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,03/26/2007,06/14/2024
San Antonio City Public Service (CPS Energy) - Renewable Portfolio Goal,TX,Regulatory Policy,Renewables Portfolio Standard,04/02/2007,06/30/2025
Bryan Texas Utilities - SmartBUSINESS Commercial Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,07/16/2007,08/08/2025
CenterPoint Energy - Commercial and Industrial Energy Efficiency Programs,TX,Financial Incentive,Rebate Program,07/31/2007,06/04/2025
CenterPoint Energy - Residential and Hard-to-Reach Energy Efficiency Program,TX,Financial Incentive,Rebate Program,07/31/2007,11/21/2025
Entergy Texas - Commercial Solutions Programs,TX,Financial Incentive,Rebate Program,08/01/2007,08/07/2025
City of Frisco - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,10/03/2007,12/12/2024
City of Dallas - Green Building Policy for Municipal Buildings (Energy Efficiency Requirements),TX,Regulatory Policy,Energy Standards for Public Buildings,10/05/2007,06/27/2024
City of Austin - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,10/11/2007,07/15/2024
City of Austin - Green Power Purchasing,TX,Regulatory Policy,Green Power Purchasing,10/24/2007,12/09/2024
ENERGY STAR Sales Tax Holiday for Energy-Efficient Products,TX,Financial Incentive,Sales Tax Incentive,10/26/2007,03/30/2023
CPS Energy - Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,11/12/2007,09/30/2025
City of Dallas - Green Energy Purchasing,TX,Regulatory Policy,Green Power Purchasing,03/13/2008,12/11/2024
City of Houston - Green Power Purchasing,TX,Regulatory Policy,Green Power Purchasing,03/13/2008,12/10/2024
City of Houston - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,03/14/2008,07/08/2024
Austin Energy - Commercial New Construction Efficiency Rebates,TX,Financial Incentive,Rebate Program,04/24/2008,05/21/2024
City of Plano - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,07/15/2008,06/14/2024
Oncor Electric Delivery - Commercial Standard Offer Rebate Program,TX,Financial Incentive,Rebate Program,09/23/2008,11/21/2025
Oncor Electric Delivery - Residential Solar Program,TX,Financial Incentive,Rebate Program,12/09/2008,09/30/2025
Garland Power & Light - EnergySaver Energy Efficiency Rebate Programs,TX,Financial Incentive,Rebate Program,02/24/2009,11/14/2025
Guadalupe Valley Electric Cooperative - Residential Energy Efficiency Rebate Programs,TX,Financial Incentive,Rebate Program,03/31/2009,10/13/2025
PACE Financing (Local Option - Contractual Assessments for Energy Efficient Improvements),TX,Financial Incentive,PACE Financing,07/15/2009,12/27/2023
New Braunfels Utilities - Energy Efficiency and Water Conservation Rebate Programs,TX,Financial Incentive,Rebate Program,08/25/2009,08/07/2025
AEP Texas Central Company - SMART Source Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,09/15/2009,09/30/2025
AEP Texas North Company - SMART Source Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,09/16/2009,09/30/2025
City of Sunset Valley - PV Rebate Program,TX,Financial Incentive,Rebate Program,10/09/2009,06/21/2023
"AEP (Central, SWEPCO and North) - Commercial Solutions Program",TX,Financial Incentive,Rebate Program,12/14/2009,08/08/2025
CenterPoint Energy - SCORE and CitySmart Program,TX,Financial Incentive,Rebate Program,12/14/2009,08/08/2025
El Paso Electric Company - Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,12/15/2009,05/06/2024
El Paso Electric Company - Small Business and Large Commercial Programs,TX,Financial Incentive,Rebate Program,12/15/2009,10/13/2025
Austin Energy - Commercial Solar PV Incentive Program,TX,Financial Incentive,Performance-Based Incentive,02/12/2010,05/21/2025
Green Mountain Energy Renewable Rewards Program,TX,Regulatory Policy,Net Metering,05/27/2010,05/20/2025
City of Brenham - Net Metering,TX,Regulatory Policy,Net Metering,01/31/2011,05/20/2025
"El Paso Electric Company - SCORE Program for Counties, Municipalities, and Schools",TX,Financial Incentive,Rebate Program,12/14/2009,05/06/2024
AEP (Central and SWEPCO) - Coolsaver A/C Tune Up or Replacement,TX,Financial Incentive,Rebate Program,12/14/2009,08/11/2025
Required Energy Efficiency Goals,TX,Regulatory Policy,Energy Efficiency Resource Standard,02/09/2011,06/30/2025
City of Houston - Property Tax Abatement for Green Commercial Buildings,TX,Financial Incentive,Property Tax Incentive,03/30/2011,11/20/2025
City of San Antonio - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,04/12/2011,12/12/2024
City of San Antonio - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,04/12/2011,06/17/2024
CPS Energy - New Residential Construction Incentives,TX,Financial Incentive,Rebate Program,04/22/2011,08/08/2025
City of Dallas - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,04/25/2011,07/11/2024
City of Austin - Zoning Code,TX,Regulatory Policy,Solar/Wind Access Policy,06/10/2011,10/25/2023
Texas Solar Rights,TX,Regulatory Policy,Solar/Wind Access Policy,06/24/2011,11/03/2023
Harris County - Property Tax Abatement for Green Commercial Buildings,TX,Financial Incentive,Property Tax Incentive,07/14/2011,11/20/2025
Harris County - Green Building Policy for County Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,07/14/2011,05/15/2024
City of San Marcos - Distributed Generation Rebate Program,TX,Financial Incentive,Rebate Program,02/23/2012,01/15/2025
City of San Marcos - Energy Efficient Home Rebate Program,TX,Financial Incentive,Rebate Program,02/23/2012,01/14/2025
"AEP (Central, SWEPCO and North) - SCORE Program for Schools",TX,Financial Incentive,Rebate Program,12/14/2009,08/08/2025
AEP (Central) - CitySmart Program,TX,Financial Incentive,Rebate Program,12/14/2009,08/11/2025
Brownsville Public Utilities Board - Residential/Small Commercial Rebate Program,TX,Financial Incentive,Rebate Program,08/02/2012,09/02/2025
TXU - Commercial Energy Efficiency Program,TX,Financial Incentive,Rebate Program,12/13/2012,01/31/2025
Bryan Texas Utilities - SmartHOME Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,05/07/2013,08/08/2025
El Paso Electric Company - Net Metering,TX,Regulatory Policy,Net Metering,09/12/2014,05/20/2025
San Antonio City Public Service (CPS Energy) - Net Metering,TX,Regulatory Policy,Net Metering,09/15/2014,05/20/2025
City of Fort Worth - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,11/07/2014,07/16/2024
City of Forth Worth - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,11/07/2014,06/20/2024
City of Houston - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,11/07/2014,12/12/2024
City of El Paso - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,11/10/2014,06/14/2024
City of El Paso - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,11/10/2014,12/12/2024
Austin Energy - Value of Solar Rate,TX,Regulatory Policy,Value of Solar Tariff,02/05/2015,05/20/2025
CenterPoint Energy Advanced Residential Lighting Program,TX,Financial Incentive,Rebate Program,04/28/2015,06/02/2025
CenterPoint Energy A/C Distributor Program,TX,Financial Incentive,Rebate Program,04/28/2015,06/02/2025
Garland Power & Light - EnergySaver Solar Rebate Program,TX,Financial Incentive,Rebate Program,02/08/2016,08/07/2025
City of San Antonio - Sec. 35-398. - Renewable Energy Systems,TX,Regulatory Policy,Solar/Wind Permitting Standards,08/30/2016,08/17/2023
City of San Antonio - Energy Conservation Code,TX,Regulatory Policy,Building Energy Code,11/17/2016,07/11/2024
City of San Marcos - Commercial Lighting Retrofit Program,TX,Financial Incentive,Rebate Program,07/26/2018,01/14/2025
Austin Energy - Multifamily Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,06/05/2019,09/30/2025
Austin Energy - Commercial Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,06/05/2019,09/30/2025
Texas Clean Fleet Program,TX,Financial Incentive,Grant Program,06/19/2021,05/21/2025
Texas Clean School Bus Program,TX,Financial Incentive,Grant Program,06/19/2021,05/21/2025
Emission Reduction Incentive Grants Program,TX,Financial Incentive,Grant Program,06/19/2021,05/21/2025
Light-Duty Motor Vehicle Purchase or Lease Incentive Program,TX,Financial Incentive,Rebate Program,06/19/2021,05/20/2025
Governmental Alternative Fuel Fleet Grant Program,TX,Financial Incentive,Grant Program,06/19/2021,05/21/2025
Austin Energy - EV Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,08/23/2021,06/12/2025
Austin Energy - Multifamily EV Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,08/23/2021,06/12/2025
Austin Energy - Workplace EV Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,08/23/2021,06/12/2025
Entergy Texas - EV Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,08/23/2021,06/12/2025
SWEPCO - EV Residential Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,08/23/2021,06/12/2025
United Cooperative Services - EV Charging Station Rebate Program,TX,Financial Incentive,Rebate Program,08/23/2021,06/12/2025
Pedernales Electric Cooperative Community Grants,TX,Financial Incentive,Grant Program,09/02/2022,10/21/2025
Oncor Electric Delivery - Commercial Solar Program,TX,Financial Incentive,Rebate Program,11/09/2022,11/21/2025
Texas-New Mexico Power Company – Online Marketplace,TX,Financial Incentive,Rebate Program,03/27/2024,03/27/2024
City of San Antonio - Under 1 Roof,TX,Financial Incentive,Grant Program,07/11/2024,07/11/2024
Austin Energy - Weatherization Assistance Loan Program,TX,Financial Incentive,Loan Program,06/06/2025,06/06/2025
Business Energy Investment Tax Credit (ITC),US,Financial Incentive,Corporate Tax Credit,03/15/2002,07/16/2025
Residential Energy Conservation Subsidy Exclusion (Personal),US,Financial Incentive,Personal Tax Exemption,03/05/2002,05/16/2025
Modified Accelerated Cost-Recovery System (MACRS),US,Financial Incentive,Corporate Depreciation,03/15/2002,07/25/2025
Residential Energy Conservation Subsidy Exclusion (Corporate),US,Financial Incentive,Corporate Tax Exemption,03/05/2002,05/19/2023
Renewable Electricity Production Tax Credit (PTC),US,Financial Incentive,Corporate Tax Credit,03/11/2002,07/18/2025
Energy-Efficient Mortgages,US,Financial Incentive,Loan Program,03/21/2002,05/16/2025
USDA - Rural Energy for America Program (REAP) Grants,US,Financial Incentive,Grant Program,04/09/2003,08/28/2024
Office of Indian Energy Policy and Programs - Funding Opportunities,US,Financial Incentive,Grant Program,05/01/2003,05/16/2025
Green Power Purchasing Goal for Federal Government,US,Regulatory Policy,Green Power Purchasing,02/19/2004,08/27/2021
Residential Renewable Energy Tax Credit,US,Financial Incentive,Personal Tax Credit,08/10/2005,07/25/2025
Energy-Efficient Commercial Buildings Tax Deduction,US,Financial Incentive,Corporate Tax Deduction,01/10/2006,07/25/2025
Energy-Efficient New Homes Tax Credit for Home Builders,US,Financial Incentive,Corporate Tax Credit,01/10/2006,07/25/2025
